1,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
2,Who wrote the play "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,William Shakespeare
3,What is the tallest mountain in the world?,K2,Mount Kilimanjaro,Mount Everest,Mount Fuji,Mount Everest
4,Which country is known as the Land of the Rising Sun?,China,Korea,Japan,India,Japan
5,What is the capital of France?,Paris,Berlin,Rome,London,Paris
6,Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,James Watt,Alexander Graham Bell
7,Which animal is known as the King of the Jungle?,Lion,Tiger,Elephant,Cheetah,Lion
8,What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,Diamond
9,Who painted the Mona Lisa?,Pablo Picasso,Leonardo da Vinci,Claude Monet,Vincent van Gogh,Leonardo da Vinci
10,In which year did the Titanic sink?,1912,1920,1905,1898,1912
11,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,Mars
12,Who was the first president of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,George Washington
13,What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean
14,What is the chemical symbol for water?,O2,H2O,CO2,NaCl,H2O
15,Which is the longest river in the world?,Amazon River,Nile River,Ganges River,Mississippi River,Nile River
16,Who is known as the "Father of Modern Physics"?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,Albert Einstein
17,What is the capital city of Japan?,Kyoto,Osaka,Tokyo,Hiroshima,Tokyo
18,Which continent is known as the "Dark Continent"?,Asia,Australia,Africa,South America,Africa
19,What is the name of the first artificial satellite launched into space?,Apollo 11,Sputnik 1,Explorer 1,Challenger,Sputnik 1
20,Which country invented the pizza?,France,Italy,Germany,United States,Italy
